,x,y,z,num_sites,mollusc_cereum_bullet,mollusc_flavum_bullet,mollusc_lividum_bullet,mollusc_rubeum_bullet,mollusc_viride_bullet,mollusc_albulus_bell,lagrange_cloud_caeruleum,lagrange_cloud_croceum,lagrange_cloud_luteolum,lagrange_cloud_proto,lagrange_cloud_roseum,lagrange_cloud_rubicundum,lagrange_cloud_viride,ice_crystal_albidum,ice_crystal_flavum,ice_crystal_lindigoticum,ice_crystal_prasinum,ice_crystal_purpureum,ice_crystal_roseum,ice_crystal_rubeum,metallic_crystal_albidum,metallic_crystal_flavum,metallic_crystal_lindigoticum,metallic_crystal_prasinum,metallic_crystal_purpureum,metallic_crystal_roseum,metallic_crystal_rubeum,silicate_crystal_albidum,silicate_crystal_flavum,silicate_crystal_lindigoticum,silicate_crystal_prasinum,silicate_crystal_purpureum,silicate_crystal_roseum,silicate_crystal_rubeum,silicate_crystal_solid spheres,solid_mineral_solid spheres,added_by,mollusc,lagrange_cloud,ice_crystal,metallic_crystal,silicate_crystal,solid_mineral
DROKIO AD-P B39-0,15342.75,-120.875,3619.6875,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Malzerina,Flavum Bullet,,"Crystal Albidum, Crystal Flavum, Crystal Roseum",,Crystal Prasinum,
DROKIO AG-F C14-1,15304.78125,-101.40625,3404.8125,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Nigel Prang,Lividum Bullet,,"Crystal Lindigoticum, Crystal Roseum",,,
DROKIO AR-B B33-0,15422.3125,-99.4375,3483.65625,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,LISA MAVRIK,Lividum Bullet,,Crystal Albidum,Crystal Flavum,Crystal Prasinum,
DROKIO AS-R B37-0,15305.3125,-210.90625,3577.71875,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Albidum, Crystal Prasinum, Crystal Purpureum, Crystal Rubeum",,,
DROKIO AW-V C18-1,15302.78125,-222.75,3596.15625,3,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,"Lividum Bullet, Viride Bullet",,"Crystal Albidum, Crystal Lindigoticum, Crystal Purpureum, Crystal Roseum",,,
DROKIO BB-W C18-2,15425.0,-147.53125,3605.28125,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Viride Bullet,,"Crystal Albidum, Crystal Prasinum",,,
DROKIO BC-B B33-0,15318.78125,-160.4375,3480.46875,3,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,SciberWolf,"Lividum Bullet, Viride Bullet",,"Crystal Albidum, Crystal Lindigoticum, Crystal Prasinum, Crystal Rubeum",,Crystal Prasinum,
DROKIO BE-E D13-5,15412.25,-96.5625,3938.4375,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,R!pP3rT,Rubeum Bullet,,,,"Crystal Roseum, Crystal Rubeum",
DROKIO BI-Q D6-9,15395.5,-175.46875,3403.34375,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO BI-X B48-0,15555.71875,-142.28125,3816.96875,3,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,Cloud Proto,"Crystal Albidum, Crystal Prasinum, Crystal Roseum, Crystal Rubeum",Crystal Prasinum,Crystal Albidum,
